"ID","hole_robbing"
"pA0418","1"
"pA0419","1"
"pA0420","1"
"pA0422","1"
"pA0423","1"
"pA0424","1"
"pA0429","1"
"pA0430","1"
"pA0437","1"
"pA0438","1"
"pA0439","1"
"pA0440","1"
"pA0445","1"
"pA0446","1"
"pA0447","1"
"pA0448","1"
"pA0450","1"
"pA0451","1"
"pA0453","1"
"pA0454","1"
"pA0457","1"
"pA0458","1"
"pA0459","1"
"pA0460","1"
"pA0461","1"
"pA0462","1"
"pA0465","1"
"pA0466","1"
"pA0468","1"
"pA0469","1"
"pA0472","1"
"pA0473","1"
"pA0474","1"
"pA0475","1"
"pA0476","1"
"pA0477","1"
"pA0479","1"
"pA0480","1"
"pA0483","1"
"pA0486","1"
"pA0489","1"
"pA0490","1"
"pA0494","1"
"pA0498","1"
"pA0503","1"
"pA0505","1"
"pA0506","1"
"pA0513","1"
"pA0518","1"
"pA0520","1"
"pA0522","1"
"pA0523","1"
"pA0526","1"
"pA0527","1"
"pA0528","1"
"pA0530","1"
"pA0534","1"
"pA0535","1"
"pA0540","1"
"pA0541","1"
"pA0543","1"
"pA0544","1"
"pA0545","1"
"pA0546","1"
"pA0547","1"
"pA0548","1"
"pA0549","1"
"pA0551","1"
"pA0552","1"
"pA0553","1"
"pA0556","1"
"pA0557","1"
"pA0558","1"
"pA0560","1"
"pA0561","1"
"pA0562","1"
"pA0564","1"
"pA0566","1"
"pA0568","1"
"pA0569","1"
"pA0571","1"
"pA0573","1"
"pA0575","1"
"pA0580","1"
"pA0583","1"
"pA0586","1"
"pA0588","1"
"pA0591","1"
"pA0593","1"
"pA0594","1"
"pA0595","1"
"pA0597","1"
"pA0598","1"
"pA0599","1"
"pA0600","1"
"pA0601","1"
"pA0603","1"
"pA0611","1"
"pA0612","1"
"pA0613","1"
"pA0616","1"
"pA0617","1"
"pA0621","1"
"pA0622","1"
"pA0623","1"
"pA0633","1"
"pA0635","1"
"pA0640","1"
"pA0641","1"
"pA0642","1"
"pA0643","1"
"pA0644","1"
"pA0646","1"
"pA0649","1"
"pA0656","1"
"pA0657","1"
"pA0658","1"
"pA0663","1"
"pA0665","1"
"pA0667","1"
"pA0668","1"
"pA0669","1"
"pA0670","1"
"pA0672","1"
"pA0674","1"
"pA0675","1"
"pA0679","1"
"pA0684","1"
"pA0688","1"
"pA0691","1"
"pA0694","1"
"pA0695","1"
"pA0696","1"
"pA0698","1"
"pA0701","1"
"pA0703","1"
"pA0705","1"
"pA0706","1"
"pA0710","1"
"pA0713","1"
"pA0714","1"
"pA0716","1"
"pA0718","1"
"pA0719","1"
"pA0722","1"
"pA0724","1"
"pA0727","1"
"pA0728","1"
"pA0729","1"
"pA0730","1"
"pA0732","1"
"pA0733","1"
"pA0734","1"
"pA0736","1"
"pA0743","1"
"pA0744","1"
"pA0744","1"
"pA0745","1"
"pA0746","1"
"pA0751","1"
"pA0752","1"
"pA0753","1"
"pA0755","1"
"pA0757","1"
"pA0758","1"
"pA0759","1"
"pA0766","1"
"pA0769","1"
"pA0773","1"
"pA0776","1"
"pA0778","1"
"pA0781","1"
"pA0785","1"
"pA0788","1"
"pA0789","1"
"pA0793","1"
"pA0794","1"
"pA0795","1"
"pA0796","1"
"pA0798","1"
"pA0799","1"
"pA0800","1"
"pA0803","1"
"pA0807","1"
"pA0810","1"
"pA0815","1"
"pA0817","1"
"pA0818","1"
"pA0821","1"
"pA0823","1"
"pA0824","1"
"pA0825","1"
"pA0826","1"
"pA0827","1"
"pA0830","1"
"pA0832","1"
"pA0833","1"
"pA0834","1"
"pA0836","1"
"pA0837","1"
"pA0843","1"
"pA0849","1"
"pA0852","1"
"pA0861","1"
"pA0863","1"
"pA0864","1"
"pA0867","1"
"pA0879","1"
"pA0881","1"
"pA0882","1"
"pA0884","1"
"pA0885","1"
"pA0886","1"
"pA0892","1"
"pA0894","1"
"pA0895","1"
"pA0896","1"
"pA0897","1"
"pA0899","1"
"pA0902","1"
"pA0904","1"
"pA0906","1"
"pA0908","1"
"pA0911","1"
"pA0913","1"
"pA0915","1"
"pA0916","1"
"pA0919","1"
"pA0920","1"
"pA0921","1"
"pA0924","1"
"pA0925","1"
"pA0929","1"
"pA0937","1"
"pA0938","1"
"pA0948","1"
"pA0950","1"
"pA0952","1"
"pA0954","1"
"pA0956","1"
"pA0957","1"
"pA0962","1"
"pA0966","1"
"pA0967","1"
"pA0972","1"
"pA0984","1"
"pA0994","1"
"pA0997","1"
"pA1008","1"
"pA1010","1"
"pA1018","1"
"pA1019","1"
"pA1023","1"
"pA1025","1"
"pA1027","1"
"pA1031","1"
"pA1033","1"
"pA1050","1"
"pA1053","1"
"pA1055","1"
"pA1063","1"
"pA1068","1"
"pA1073","1"
"pA1075","1"
"pA1078","1"
"pA1080","1"
"pA1081","1"
"pA1087","1"
"pA1088","1"
"pA1089","1"
